country,name,name_local,city,region,frequency_fm,type,genre,language,political_leaning,internet_only,stream_url,codec,bitrate,stream_status,votes,notes,source
FR,Mouteyen jean-philippe,,- Guadeloupe,- guadeloupe,,Other,Other,French,None,Unknown,http://france16.coollabel-productions.com:8276/;,MP3,128,Working,13,tags: ,radio-browser
FR,Laurent DINE IGLESIAS,,69,69,,Music,Electronic / Dance,French,None,Unknown,https://radio7.pro-fhi.net:19141/milleniumfm.mp3,MP3,128,Working,7,"tags: dance,electro,electro latino,electro pop,french touch,hits,house,mix,progressive house,techno",radio-browser
FR,Plein Air Oyonnax,,Ain (France),Ain (France),,Other,Other,French,None,Unknown,http://stream.pleinair.net:8000/dr_oyonnax.mp3,MP3,192,Working,9,"tags: ain,oyonnax,plein air,plein-air",radio-browser
FR,RCF Occitanie,,Albi,Albi,,Religious,Religious,French,None,Unknown,https://rcf.streamakaci.com/rcfoccitanie.mp3,MP3,320,Working,39,tags: religious,radio-browser
FR,France Bleu Alsace,,Alsace,Alsace,,Other,Other,French,None,Unknown,https://icecast.radiofrance.fr/fbalsace-midfi.mp3,MP3,128,Working,311,tags: public radio,radio-browser
FR,Radio ThurTàl,,Alsace,Alsace,,Other,Other,French,None,Unknown,https://stream10.vestaradio.com/RadioThurtal,MP3,192,Working,0,tags: ,radio-browser
FR,RCB,,Alsace,Alsace,,Other,Other,French,None,Unknown,https://radio12.pro-fhi.net/radio/9013/stream.mp3,MP3,320,Working,6,tags: ,radio-browser
FR,📻 Guadeloupe 1ère,,Aucun,Aucun,,News & Talk,News & Talk,French,None,Unknown,https://guadeloupe.ice.infomaniak.ch/guadeloupe-128.mp3,MP3,128,Working,17,"tags: guadeloupe,information,zouk",radio-browser
FR,📻 Positively Meditation,,Aucun,Aucun,,Other,Other,French,None,Unknown,https://streaming.positivity.radio/pr/posimeditation/icecast.audio,MP3,128,Working,139,tags: méditation,radio-browser
FR,📻 Radio Reccord Deep,,Aucun,Aucun,,Music,Electronic / Dance,French,None,Unknown,http://radiorecord.hostingradio.ru/deep96.aacp,AAC,,Working,32,"tags: deep,deep house,deep techno",radio-browser
FR,Alpes 1 Grenoble,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,,Other,Other,French,None,Unknown,http://broadcast.infomaniak.ch/alpes1grenoble-high.mp3,MP3,128,Working,82,tags: ,radio-browser
FR,Couleurs FM Nord-Isère,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,,Other,Other,French,None,Unknown,http://mixie.fr:8000/Couleursfm,MP3,192,Working,6,"tags: local,local radio,varied",radio-browser
FR,Elise radio ,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes ,,News & Talk,News & Talk + Music,French,None,Unknown,https://elise.wanastream.com:25000/;stream.nsv,MP3,256,Working,11,"tags: 90's,années 80,electro,emission,jazz,pop music,talk",radio-browser
FR,Ellebore,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,,Other,Other,French,None,Unknown,http://ellebore.ice.infomaniak.ch/ellebore-high.aac,AAC,128,Working,1,tags: ,radio-browser
FR,FC Radio,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,,Other,Other,French,None,Unknown,http://fcradio.ice.infomaniak.ch/fcradio-128.mp3,MP3,128,Working,56,tags: ,radio-browser
FR,France Bleu Drôme-Ardèche,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,,Other,Other,French,None,Unknown,http://direct.francebleu.fr/live/fbdromeardeche-midfi.mp3,MP3,128,Working,74,tags: ,radio-browser
FR,France Bleu Isère,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,,Other,Other,French,None,Unknown,http://direct.francebleu.fr/live/fbisere-midfi.mp3,MP3,128,Working,514,tags: ,radio-browser
FR,France Bleu Pays d'Auvergne,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,,Other,Other,French,None,Unknown,http://direct.francebleu.fr/live/fbpaysdauvergne-midfi.mp3,MP3,128,Working,219,tags: ,radio-browser
FR,France Bleu Pays de Savoie,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,,Other,Other,French,None,Unknown,http://direct.francebleu.fr/live/fbpaysdesavoie-midfi.mp3,MP3,128,Working,1071,tags: ,radio-browser
FR,France Bleu Saint-Étienne Loire,,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,,Other,Other,French,None,Unknown,http://direct.francebleu.fr/live/fbstetienne-midfi.mp3,MP3,128,Working,143,tags: ,radio-browser
